id,text,first_name,last_name,title,time
38841,"Well, we've been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people's lives.",Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38842,"But let me tell you, what we're hearing here already in the first round of questions is that battle for the heart and soul of our party.",Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38843,I want to make it clear.,Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38844,This is supposed to be the party of working people.,Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38845,"Yes, we're supposed to be for a 70 percent tax rate on the wealthy.",Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38846,"Yes, we're supposed to be for free college, free public college, for our young people.",Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38847,We are supposed to break up big corporations when they're not serving our democracy.,Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38848,This Democratic Party has to be strong and bold and progressive.,Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38913,Start with a place where there's a real need.,Elizabeth,Warren,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38849,"And in New York, we've proven that we can do something very different, we can put money back in the hands of working people.",Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38850,"And let me tell you, every time you talk about investing in people and their communities, you hear folks say there's not enough money.",Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38851,"What I say to them every single time is, there's plenty of money in this world, there's plenty of money in this country.",Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38852,It's just in the wrong hands.,Bill,de Blasio,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
